"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,Cbst1","100nF","~","-- mixed values --","3",""
"C2","0.1uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C3,Cin1,Cin2","10uF","~","-- mixed values --","3",""
"C5","1uF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"Cout1","47uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"D1","SM712_SOT23","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sm712_datasheet.pdf.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"D2","1N4148W","https://www.vishay.com/docs/85748/1n4148w.pdf","Diode_SMD:D_SOD-123","1",""
"D3","LED","~","LED_THT:LED_D3.0mm_FlatTop","1",""
"F1","Fuse","~","Fuse:Fuse_1206_3216Metric","1",""
"J1,J2","Screw_Terminal_01x02","~","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","2",""
"J3,J5","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2",""
"J4","Barrel_Jack_MountingPin","~","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","1",""
"J6","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J7,J8","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J9","Screw_Terminal_01x04","~","TerminalBlock_Altech:Altech_AK100_1x04_P5.00mm","1",""
"K1","AWHSH112DM00G ","","Relay_THT:AWHSH112DM00G","1",""
"L1","4.7uH","~","Inductor_SMD:L_6.8x6.8_H3","1",""
"Q1","SSM3J352F_LF","","Package_S-Mini:S-MINI_TOS","1",""
"R1,R2,R12,Rfbb1","10kOhm","~","-- mixed values --","4",""
"R3,R4","10Ohm","~","Resistor_SMD:R_1210_3225Metric","2",""
"R5","120","~","Resistor_SMD:R_1206_3216Metric","1",""
"R6,R7,R8,R9","R_Photo","~","OptoDevice:R_LDR_4.9x4.2mm_P2.54mm_Vertical","4",""
"R10","10kohm","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R11,R13,Rfbt1","56.2kOhm","~","-- mixed values --","3",""
"R14,R15","20kOhm","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R16","250-400 Ohm","~","Resistor_SMD:R_1206_3216Metric","1",""
"U1","TPS561208DDCT","","Converter_DCDC:SOT95P280X110-6N","1",""
"U2","ADC084S021CIMM/NOPB","ADC084S021CIMM/NOPB","Package_SO:VSSOP-10_3x3mm_P0.5mm","1",""
"U3","ULN2003A","http://www.ti.com/lit/ds/symlink/uln2003a.pdf","Package_SO:SOIC-16W_5.3x10.2mm_P1.27mm","1",""
"U4","THVD1400D","https://www.ti.com/lit/ds/symlink/thvd1420.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U5","AVR32DA32x-xPT","https://ww1.microchip.com/downloads/en/DeviceDoc/AVR32DA28-32-48-Data-Sheet-40002228B.pdf","Package_QFP:TQFP-32_7x7mm_P0.8mm","1",""
"U6","SHT31A-DIS","https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/2_Humidity_Sensors/Datasheets/Sensirion_Humidity_Sensors_SHT3xA_Datasheet.pdf","Sensor_Humidity:Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm","1",""
"U7,U8","~","","-- mixed values --","2",""
